2315 solutions left, 1. guess 'roate', hint ⬛⬛🟩⬛⬛, secret 'aback'
  71 solutions left, 2. guess 'slick', hint ⬛⬛⬛🟩🟩, secret 'aback'
   4 solutions left, 3. guess 'abuna', hint 🟩🟩⬛⬛🟨, secret 'aback'
   1 solutions left, 4. guess 'aback', hint 🟩🟩🟩🟩🟩, secret 'aback'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟩⬛🟩, secret 'abase'
  42 solutions left, 2. guess 'slump', hint 🟨⬛⬛⬛⬛, secret 'abase'
   3 solutions left, 3. guess 'bacha', hint 🟨🟨⬛⬛🟨, secret 'abase'
   1 solutions left, 4. guess 'abase', hint 🟩🟩🟩🟩🟩, secret 'abase'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟩🟩🟩, secret 'abate'
   7 solutions left, 2. guess 'balks', hint 🟨🟨⬛⬛⬛, secret 'abate'
   1 solutions left, 3. guess 'abate', hint 🟩🟩🟩🟩🟩, secret 'abate'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟨⬛🟨, secret 'abbey'
  55 solutions left, 2. guess 'genal', hint ⬛🟨⬛🟨⬛, secret 'abbey'
   2 solutions left, 3. guess 'askew', hint 🟩⬛⬛🟩⬛, secret 'abbey'
   1 solutions left, 4. guess 'abbey', hint 🟩🟩🟩🟩🟩, secret 'abbey'
2315 solutions left, 1. guess 'roate', hint ⬛🟨🟨🟨⬛, secret 'abbot'
  17 solutions left, 2. guess 'aboil', hint 🟩🟩🟨⬛⬛, secret 'abbot'
   1 solutions left, 3. guess 'abbot', hint 🟩🟩🟩🟩🟩, secret 'abbot'
2315 solutions left, 1. guess 'roate', hint 🟨🟨🟨⬛⬛, secret 'abhor'
  28 solutions left, 2. guess 'macon', hint ⬛🟨⬛🟩⬛, secret 'abhor'
   4 solutions left, 3. guess 'bandh', hint 🟨🟨⬛⬛🟨, secret 'abhor'
   1 solutions left, 4. guess 'abhor', hint 🟩🟩🟩🟩🟩, secret 'abhor'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟨⬛🟩, secret 'abide'
  45 solutions left, 2. guess 'mauls', hint ⬛🟨⬛⬛⬛, secret 'abide'
   1 solutions left, 3. guess 'abide', hint 🟩🟩🟩🟩🟩, secret 'abide'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟨⬛🟨, secret 'abled'
  55 solutions left, 2. guess 'genal', hint ⬛🟨⬛🟨🟨, secret 'abled'
   2 solutions left, 3. guess 'alley', hint 🟩⬛🟩🟩⬛, secret 'abled'
   1 solutions left, 4. guess 'abled', hint 🟩🟩🟩🟩🟩, secret 'abled'
2315 solutions left, 1. guess 'roate', hint ⬛🟨🟨⬛🟩, secret 'abode'
   7 solutions left, 2. guess 'aband', hint 🟩🟩⬛⬛🟨, secret 'abode'
   1 solutions left, 3. guess 'abode', hint 🟩🟩🟩🟩🟩, secret 'abode'
2315 solutions left, 1. guess 'roate', hint 🟨🟨🟨🟨⬛, secret 'abort'
   3 solutions left, 2. guess 'abaca', hint 🟩🟩⬛⬛⬛, secret 'abort'
   1 solutions left, 3. guess 'abort', hint 🟩🟩🟩🟩🟩, secret 'abort'
2315 solutions left, 1. guess 'roate', hint ⬛🟨🟨🟨⬛, secret 'about'
  17 solutions left, 2. guess 'aboil', hint 🟩🟩🟩⬛⬛, secret 'about'
   1 solutions left, 3. guess 'about', hint 🟩🟩🟩🟩🟩, secret 'about'
2315 solutions left, 1. guess 'roate', hint ⬛🟨🟨⬛🟩, secret 'above'
   7 solutions left, 2. guess 'aband', hint 🟩🟩⬛⬛⬛, secret 'above'
   1 solutions left, 3. guess 'above', hint 🟩🟩🟩🟩🟩, secret 'above'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟨⬛🟩, secret 'abuse'
  45 solutions left, 2. guess 'mauls', hint ⬛🟨🟩⬛🟨, secret 'abuse'
   1 solutions left, 3. guess 'abuse', hint 🟩🟩🟩🟩🟩, secret 'abuse'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟨⬛⬛, secret 'abyss'
 112 solutions left, 2. guess 'lysin', hint ⬛🟨🟨⬛⬛, secret 'abyss'
   4 solutions left, 3. guess 'ampul', hint 🟩⬛⬛⬛⬛, secret 'abyss'
   1 solutions left, 4. guess 'abyss', hint 🟩🟩🟩🟩🟩, secret 'abyss'
2315 solutions left, 1. guess 'roate', hint 🟨🟨🟨⬛⬛, secret 'acorn'
  28 solutions left, 2. guess 'macon', hint ⬛🟨🟨🟨🟩, secret 'acorn'
   1 solutions left, 3. guess 'acorn', hint 🟩🟩🟩🟩🟩, secret 'acorn'
2315 solutions left, 1. guess 'roate', hint 🟨⬛🟨⬛⬛, secret 'acrid'
  35 solutions left, 2. guess 'carrs', hint 🟨🟨🟩⬛⬛, secret 'acrid'
   1 solutions left, 3. guess 'acrid', hint 🟩🟩🟩🟩🟩, secret 'acrid'
2315 solutions left, 1. guess 'roate', hint 🟨🟨🟨🟨⬛, secret 'actor'
   3 solutions left, 2. guess 'abaca', hint 🟩⬛⬛🟨⬛, secret 'actor'
   1 solutions left, 3. guess 'actor', hint 🟩🟩🟩🟩🟩, secret 'actor'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟨🟩🟩, secret 'acute'
  10 solutions left, 2. guess 'butch', hint ⬛🟨🟨🟨⬛, secret 'acute'
   1 solutions left, 3. guess 'acute', hint 🟩🟩🟩🟩🟩, secret 'acute'
2315 solutions left, 1. guess 'roate', hint ⬛⬛🟩⬛🟩, secret 'adage'
  42 solutions left, 2. guess 'slump', hint ⬛⬛⬛⬛⬛, secret 'adage'
   8 solutions left, 3. guess 'ahind', hint 🟩⬛⬛⬛🟨, secret 'adage'
   1 solutions left, 4. guess 'adage', hint 🟩🟩🟩🟩🟩, secret 'adage'
